date,avg_positive,avg_negative,avg_neutral,headline_count,open,close,stock_move_intraday,overnight_gap,open_vs_sma20,rsi_change_lag1
2024-08-14,0.004,0.7767,0.2193,1,219.13055181670978,220.27304077148438,1,-0.0031636485168557854,0.009983934068111317,4.486586735097028
2024-08-16,0.659,0.108,0.233,1,222.45867901826594,224.5747833251953,1,-0.0035600788358886156,0.026756502819894175,3.414565744330311
2024-08-19,0.0,0.0,1.0,1,224.2469437652095,224.41583251953125,1,-0.0014598235613616994,0.03453600844917621,1.449611530399494
2024-08-21,0.0001,0.0193,0.9806,1,225.04171252806572,224.9224853515625,0,4.4188113041409815e-05,0.03726387235822221,0.7432656362717438
2024-08-22,0.0,0.0,1.0,1,226.30341677619586,223.064697265625,0,0.006139588145111019,0.04114546380587714,-0.22100679433356163
2024-08-23,0.0,0.0001,0.9999,1,224.18735755669383,225.35964965820312,1,0.005032890927298837,0.029694385349495474,-3.7823285821673593
2024-08-26,0.1739,0.4979,0.3282,2,225.28014571740593,225.69740295410156,1,-0.000352786938202012,0.032562239267419524,3.2354518764684315
2024-08-27,0.0001,0.0002,0.9997,3,224.52510403050715,226.54185485839844,1,-0.005194117912968689,0.026952251081201705,0.46819907274232264
2024-08-28,0.0,0.0,1.0,1,226.43260827589475,225.01194763183594,0,-0.0004822357553837993,0.03345034377576295,1.206971622467691
2024-08-29,0.0,0.0,1.0,1,228.59837969678284,228.29039001464844,0,0.01593885170406603,0.04223233134256722,-3.559208459972254
2024-08-30,0.0,0.0,1.0,1,228.68777538921813,227.5055389404297,0,0.001740701282012772,0.03988859725035442,4.8013780870548715
2024-09-04,0.0133,0.4276,0.5591,2,220.2134333758585,219.40872192382812,0,-0.0049828004935499855,-0.0038516874947968206,-12.24481597581233
2024-09-05,0.9943,0.0002,0.0055,1,220.1836512012438,220.9287567138672,1,0.003531898233675101,-0.007078641658037686,-3.0564003993639517
2024-09-09,0.7484,0.25,0.0016,4,219.37892899374344,219.4683380126953,1,1.0367333775164698e-07,-0.015242699342015699,-2.5730224105977726
2024-09-10,0.2954,0.3318,0.3728,7,217.49131703149231,218.67355346679688,1,-0.009008228699889436,-0.024785748653610926,0.173489745194793
2024-09-11,0.0,1.0,0.0,2,220.01477384708656,221.20693969726562,1,0.006133436618312115,-0.014037346519683903,-1.4070929022846883
2024-09-16,0.5293,0.4686,0.0021,2,215.126845002842,214.90829467773438,0,-0.02678648816607919,-0.035989065345641016,-0.5737641969895435
2024-09-17,0.4994,0.0014,0.4992,2,214.3419921866889,215.3751983642578,1,-0.0026350890359753726,-0.03742130113807351,-10.929546415494023
2024-09-18,0.0,0.0,1.0,2,216.13026348358338,219.24977111816406,1,0.0035058127633087305,-0.02741608120304955,1.068808539057848
2024-09-19,0.0003,0.0004,0.9994,2,223.52171975466862,227.3763885498047,1,0.019484392684734918,0.007155650055087613,8.110937935626197
2024-09-20,0.0,0.0001,0.9998,1,228.46919216926284,226.7107391357422,0,0.004806143797198995,0.028879413447361977,12.121132465000102
2024-09-24,0.0,0.0084,0.9916,1,227.15783023434298,225.8861846923828,0,0.009626029283254543,0.022219273436242415,-3.159647416840059
2024-10-08,0.005,0.995,0.0,1,222.83620769655573,224.29661560058594,1,0.01177319828710256,-0.0019089814519430437,-8.082322671713477
2024-10-09,0.1836,0.3337,0.4827,3,223.76012210676075,228.0419921875,1,-0.002391892951164927,0.0009687485364645138,6.373483696041127
2024-10-10,0.0002,0.3333,0.6665,3,226.29350107451606,227.54527282714844,1,-0.007667408516350368,0.01075632772208582,5.028140945090641
2024-10-11,0.0,0.0002,0.9998,1,227.80359724609562,226.0650177001953,0,0.0011352660318433212,0.01608777308041536,-0.8199414377321901
2024-10-14,0.0,1.0,0.0,1,227.20748901369805,229.79052734375,1,0.005053728901204301,0.01229625315443472,-2.4775144419731845
2024-10-16,0.0972,0.1948,0.7081,1,230.0885769817669,230.26739501953125,1,-0.009621507894342336,0.017914624735040456,3.0641774105131745
2024-10-18,0.0,1.0,0.0,1,234.63864623478992,233.4663543701172,0,0.01735938981792276,0.03477646111571561,0.48611395070720675
2024-10-21,0.4998,0.0,0.5002,2,232.9199708414818,234.9367218017578,1,-0.0023403095067359705,0.025669076177477143,3.6408249054037256
2024-10-22,0.0078,0.1263,0.866,2,232.36364046895116,234.32078552246094,1,-0.010952231362868194,0.020983734652152627,1.7736271748676486
2024-10-23,0.0009,0.0004,0.9987,1,232.55238437433343,229.25404357910156,0,-0.007546923949510225,0.019923097400755048,-1.2960159438538241
2024-10-28,0.2011,0.1464,0.6524,3,231.79736647290133,231.8768310546875,1,0.00825377059087277,0.014168104021178506,1.3494492190327065
2024-10-29,0.0001,0.2761,0.7238,1,231.57880823795904,232.14508056640625,1,-0.0012852634537608217,0.013123783398258697,3.1203336660074683
2024-10-31,1.0,0.0,0.0,1,227.84332326136388,224.4357147216797,0,-0.0033029550492804922,-0.005548085412524431,-6.961167257320994
2024-11-01,1.0,0.0,0.0,2,219.52794977327943,221.45529174804688,1,-0.021867129990814176,-0.041891475234127534,-6.696639038651149
2024-11-04,0.0386,0.8133,0.1481,1,219.54779428408165,220.56112670898438,1,-0.008613465268355013,-0.04099610368029834,-4.057589402291022
2024-11-12,0.0,0.0003,0.9997,1,223.33003326558662,223.0117645263672,0,0.0014271387874777532,-0.020747334578855033,-4.451233739196411
2024-11-14,0.0,1.0,0.0,1,223.7974607959322,226.98007202148438,1,-0.00044418131738164883,-0.015312178850879675,1.8522998833042763
2024-11-15,0.0022,0.973,0.0248,1,225.16997570047775,223.777587890625,0,-0.007974692689476696,-0.008475998222985202,5.970790214471194
2024-11-21,0.0,0.9999,0.0001,1,227.63648708983084,227.2784423828125,0,-0.0005240569208805881,0.008295556146197683,1.2779767532185176
2024-11-22,0.0149,0.2004,0.7847,5,226.82096032466632,228.62112426757812,1,-0.002012870439228159,0.0050810017056245665,-1.009764963453982
2024-11-25,0.0003,0.0001,0.9996,1,230.20248468460477,231.6048126220703,1,0.0069169479508631075,0.020354165997776095,2.5647546157665886
2024-11-27,1.0,0.0,0.0,1,233.19611792325418,233.6536102294922,1,-0.002510065843520473,0.03331042726947168,3.283524129714891
2024-12-02,0.9215,0.0,0.0785,1,235.98089694287458,238.2882843017578,1,-0.0002528863211264753,0.04180458441470918,3.480010640583835
2024-12-05,0.001,0.0458,0.9532,1,242.6644095132275,241.7195587158203,0,0.004032780950039657,0.057929422001398195,0.3811653913588344
2024-12-09,1.0,0.0,0.0,1,240.516140724136,245.40940856933594,1,-0.004159020118338923,0.04040426732262185,-0.6618540434344311
2024-12-11,0.0333,0.0006,0.9661,1,246.61281718111218,245.1508026123047,0,0.0007667409685338188,0.056925419058512935,0.9810706056848773
2024-12-13,1.0,0.0,0.0,1,246.47359279661413,246.7819061279297,1,-0.0005645719786413142,0.04627207682863586,1.660802385202274
2024-12-16,1.0,0.0,0.0,1,246.6426692963963,249.67608642578125,1,-0.0005642100497482023,0.04260781836172764,0.19220409260604754
2024-12-19,0.0,1.0,0.0,2,246.15532490458142,248.43287658691406,1,-0.0022173356040912015,0.025188559686323768,-15.939966526156127
2024-12-20,0.0219,0.0014,0.9767,1,246.69239156062656,253.10736083984375,1,-0.007005856270712199,0.023020426815562184,2.228762891042649
2024-12-23,0.0003,0.0354,0.9643,1,253.38583418491564,253.88311767578125,1,0.0011002182794995611,0.045180258673608156,5.12234624720719
